project_id;track_id;section_id;segment_id;point_id;section_duration;section_speed;section_warning;section_weather;timestamp;lon_ontrack;lat_ontrack;lon_rtk;lat_rtk;sun_azimuth;sun_height;tair_thermohygro;tair_tc1;tair_tc2;tair_anemo;rh_thermohygro;ws;wdir;sw_up;sw_down;sw_front;sw_back;sw_left;sw_right;lw_up;lw_down;lw_front;lw_back;lw_left;lw_right;tmrt;pet
;;66;144;4717;;;;;2024-07-10 12:50:10;3.8753668628633;43.6131712949828;3.8753565;43.6131714;138.240441667755;63.4225353034224;30.8266575112535;34.3046875;34.1328125;34;36.2827496757458;2.4693312;180;90.1949805253721;7.9000248789817;58.8090890418397;38.0223579433391;12.3293974792239;91.2814657427628;458.187039636976;477.21574433486;476.464128899253;487.780866005013;479.389776374013;490.207775487367;35.9586353505986;28.9563599112535
;;66;144;4718;;;;;2024-07-10 12:50:11;3.87536441534758;43.6131631873173;3.8753539;43.613162;138.247804816761;63.4245488188023;30.7999542229343;34.390625;34.1484375;34;36.2484168764782;2.3664424;182;90.5652144629019;6.88457046563273;59.2944101446164;37.0894565688916;13.1077982315777;87.416628291205;458.439284017395;476.84213016474;476.929537885963;487.604185517265;479.094811876093;489.598107708852;35.8493303932627;28.9070077909343
;;66;144;4719;;;;;2024-07-10 12:50:12;3.87536196783185;43.6131550796518;3.8753522;43.6131534;138.255168877595;63.4265620458581;30.8266575112535;34.359375;34.0234375;34;36.2598611429007;2.4693312;180;87.9634268836292;7.1673718890395;58.0123970523354;36.0415458132679;12.7135885612474;85.9918807139254;457.246077146597;476.221807849903;476.924841311159;487.523080284725;478.948926997437;488.015610689903;35.6598034783449;28.7854932232535
;;66;144;4720;;;;;2024-07-10 12:50:13;3.87535952031612;43.6131469719863;3.8753501;43.613144;138.262533850337;63.4285749845208;30.8346684977493;34.3515625;34.1953125;34;36.2407873655299;2.4178868;180;87.981310246147;6.39876584992002;58.2707131231681;36.8478941140049;12.0096738350003;82.1347841185074;457.079074269132;475.61941046349;476.871917251742;487.20629529751;479.443789945759;486.895818044148;35.5320748033045;28.7606700593493
;;66;144;4721;;;;;2024-07-10 12:50:14;3.8753570728004;43.6131388643207;3.8753486;43.6131336;138.269899735066;63.4305876347212;30.8213168535897;34.3671875;34.140625;34;36.2255283436332;2.4693312;182;87.3578092286359;6.71269735249249;59.694495641529;36.0329949299091;11.8663644631343;82.3313158549447;456.815032433464;475.407014417461;477.346495878523;486.991988923301;479.255407604661;486.720846662602;35.5381383102887;28.6905699735897
;;66;144;4722;;;;;2024-07-10 12:50:15;3.87535462528467;43.6131307566552;3.8753483;43.6131247;138.277266531888;63.4325999963973;30.8373388265812;34.3046875;34.1796875;34;36.2770275425345;2.4178868;186;87.4849261027487;6.87536297742879;58.6647103625191;34.560105271352;12.4605103088034;84.9593365143939;456.39837027825;475.144883547727;478.270381252746;486.295030952445;478.71895907294;487.352301350572;35.5616507388257;28.8165202717012
;;66;144;4723;;;;;2024-07-10 12:50:16;3.87535217776895;43.6131226489897;3.8753464;43.6131157;138.284634240832;63.4346120694659;30.8266575112535;34.4140625;34.09375;34;36.1816586556802;2.2635536;186;88.7367614789917;6.65087564598032;59.6457895810353;34.1299958384032;11.8411001969695;86.9435759715528;456.575868754308;475.251211771992;478.923029963266;485.572668769575;479.067424877387;488.069449129073;35.6492493140132;29.0417615112535
;;66;144;4724;;;;;2024-07-10 12:50:17;3.87534973025322;43.6131145413241;3.8753471;43.6131059;138.292002861977;63.4366238538579;30.8373388265812;34.359375;34.109375;34;36.2465094987411;1.9548872;182;89.3288457785661;7.02838266234191;61.551849073392;33.8807375884935;11.9469487603842;87.6970193024897;456.468834769234;475.655096856415;479.691046749813;485.245504430148;479.012517889766;489.571397530963;35.7801246386759;29.4358028265812
;;66;144;4725;;;;;2024-07-10 12:50:18;3.87534728273749;43.6131064336586;3.8753466;43.6130971;138.29937239548;63.4386353495251;30.8319981689174;34.4375;34.140625;34;36.2922865644312;2.1092204;186;89.8078298935687;6.76662692625844;61.1865536196892;34.0423492839753;12.6604464841421;86.2911938179962;457.227071010284;476.290555118885;480.430494822781;485.005577577075;479.578714424001;491.06858783559;35.8570545811623;29.2967482489174
;;66;144;4726;;;;;2024-07-10 12:50:19;3.87534483522177;43.6130983259931;3.8753447;43.6130884;138.306742841318;63.4406465563704;30.8400091554131;34.4375;34.109375;34;36.3819333180743;2.1606648;189;89.8474632915811;6.71883567796179;60.575118610277;35.7854468566712;12.1259765775176;84.6931370726987;457.486728877208;476.551225363233;480.515711339402;485.445232495715;480.114855715694;492.107465453024;35.9069450950423;29.2846581154132
